ISO code,Country,Variable code,Variable name,2015
ABW,Aruba,emp,Number of persons engaged (in millions),0.046936773
ABW,Aruba,pop,Population (in millions),0.104184
ABW,Aruba,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),4032.470703
AGO,Angola,emp,Number of persons engaged (in millions),12.96023083
AGO,Angola,pop,Population (in millions),28.157798
AGO,Angola,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),236550.7969
AIA,Anguilla,pop,Population (in millions),0.01421
AIA,Anguilla,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),329.0840149
ALB,Albania,emp,Number of persons engaged (in millions),0.984531224
ALB,Albania,pop,Population (in millions),2.898632
ALB,Albania,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),35266.32813
ARE,United Arab Emirates,emp,Number of persons engaged (in millions),5.79295063
ARE,United Arab Emirates,pop,Population (in millions),8.674633
ARE,United Arab Emirates,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),658130.9375
ARG,Argentina,emp,Number of persons engaged (in millions),19.85445023
ARG,Argentina,pop,Population (in millions),43.477012
ARG,Argentina,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),1230329.125
ARM,Armenia,emp,Number of persons engaged (in millions),1.071905375
ARM,Armenia,pop,Population (in millions),2.921177
ARM,Armenia,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),41846.97266
ATG,Antigua and Barbuda,pop,Population (in millions),0.089409
ATG,Antigua and Barbuda,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),2432.978271
AUS,Australia,emp,Number of persons engaged (in millions),12.04787827
AUS,Australia,pop,Population (in millions),23.948002
AUS,Australia,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),1434652.875
AUT,Austria,emp,Number of persons engaged (in millions),4.274085045
AUT,Austria,pop,Population (in millions),8.644039
AUT,Austria,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),516414.1875
AZE,Azerbaijan,emp,Number of persons engaged (in millions),4.741165638
AZE,Azerbaijan,pop,Population (in millions),9.75285
AZE,Azerbaijan,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),195136.0469
BDI,Burundi,emp,Number of persons engaged (in millions),4.66706562
BDI,Burundi,pop,Population (in millions),11.04758
BDI,Burundi,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),10484.59863
BEL,Belgium,emp,Number of persons engaged (in millions),4.607065201
BEL,Belgium,pop,Population (in millions),11.275335
BEL,Belgium,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),593070.1875
BEN,Benin,emp,Number of persons engaged (in millions),3.643776417
BEN,Benin,pop,Population (in millions),11.360681
BEN,Benin,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),32044.91797
BFA,Burkina Faso,emp,Number of persons engaged (in millions),6.118274689
BFA,Burkina Faso,pop,Population (in millions),18.777487
BFA,Burkina Faso,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),36869.28125
BGD,Bangladesh,emp,Number of persons engaged (in millions),59.69651031
BGD,Bangladesh,pop,Population (in millions),159.383179
BGD,Bangladesh,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),824431.75
BGR,Bulgaria,emp,Number of persons engaged (in millions),3.208118916
BGR,Bulgaria,pop,Population (in millions),7.177517
BGR,Bulgaria,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),155443.3281
BHR,Bahrain,emp,Number of persons engaged (in millions),0.731633842
BHR,Bahrain,pop,Population (in millions),1.36965
BHR,Bahrain,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),75758.91406
BHS,Bahamas,emp,Number of persons engaged (in millions),0.188289627
BHS,Bahamas,pop,Population (in millions),0.385346
BHS,Bahamas,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),11496.54004
BIH,Bosnia and Herzegovina,emp,Number of persons engaged (in millions),0.657287538
BIH,Bosnia and Herzegovina,pop,Population (in millions),3.518541
BIH,Bosnia and Herzegovina,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),46440.70703
BLR,Belarus,emp,Number of persons engaged (in millions),4.406383991
BLR,Belarus,pop,Population (in millions),9.487293
BLR,Belarus,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),244186.7656
BLZ,Belize,emp,Number of persons engaged (in millions),0.138686001
BLZ,Belize,pop,Population (in millions),0.356333
BLZ,Belize,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),4143.162598
BMU,Bermuda,emp,Number of persons engaged (in millions),0.035089858
BMU,Bermuda,pop,Population (in millions),0.063464
BMU,Bermuda,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),3951.523926
BOL,Bolivia (Plurinational State of),emp,Number of persons engaged (in millions),5.02957201
BOL,Bolivia (Plurinational State of),pop,Population (in millions),11.014705
BOL,Bolivia (Plurinational State of),rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),98821.92969
BRA,Brazil,emp,Number of persons engaged (in millions),92.44721222
BRA,Brazil,pop,Population (in millions),201.675532
BRA,Brazil,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),3588124
BRB,Barbados,emp,Number of persons engaged (in millions),0.128175005
BRB,Barbados,pop,Population (in millions),0.27899
BRB,Barbados,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),3066.662598
BRN,Brunei Darussalam,emp,Number of persons engaged (in millions),0.189473659
BRN,Brunei Darussalam,pop,Population (in millions),0.422212
BRN,Brunei Darussalam,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),36752.64063
