"Country","ISO.code.emp","Variable.name.emp","X2015.emp","ISO.code.pop","Variable.name.pop","X2015.pop","ISO.code.rgdpna","Variable.name.rgdpna","X2015.rgdpna"
"Aruba","ABW","Number of persons engaged (in millions)",0.046936773,"ABW","Population (in millions)",0.104184,"ABW","Real GDP at constant 2021 national prices (in mil. 2021US$)",4032.470703
"Angola","AGO","Number of persons engaged (in millions)",12.96023083,"AGO","Population (in millions)",28.157798,"AGO","Real GDP at constant 2021 national prices (in mil. 2021US$)",236550.7969
"Anguilla",NA,NA,NA,"AIA","Population (in millions)",0.01421,"AIA","Real GDP at constant 2021 national prices (in mil. 2021US$)",329.0840149
"Albania","ALB","Number of persons engaged (in millions)",0.984531224,"ALB","Population (in millions)",2.898632,"ALB","Real GDP at constant 2021 national prices (in mil. 2021US$)",35266.32813
"United Arab Emirates","ARE","Number of persons engaged (in millions)",5.79295063,"ARE","Population (in millions)",8.674633,"ARE","Real GDP at constant 2021 national prices (in mil. 2021US$)",658130.9375
"Argentina","ARG","Number of persons engaged (in millions)",19.85445023,"ARG","Population (in millions)",43.477012,"ARG","Real GDP at constant 2021 national prices (in mil. 2021US$)",1230329.125
"Armenia","ARM","Number of persons engaged (in millions)",1.071905375,"ARM","Population (in millions)",2.921177,"ARM","Real GDP at constant 2021 national prices (in mil. 2021US$)",41846.97266
"Antigua and Barbuda",NA,NA,NA,"ATG","Population (in millions)",0.089409,"ATG","Real GDP at constant 2021 national prices (in mil. 2021US$)",2432.978271
"Australia","AUS","Number of persons engaged (in millions)",12.04787827,"AUS","Population (in millions)",23.948002,"AUS","Real GDP at constant 2021 national prices (in mil. 2021US$)",1434652.875
"Austria","AUT","Number of persons engaged (in millions)",4.274085045,"AUT","Population (in millions)",8.644039,"AUT","Real GDP at constant 2021 national prices (in mil. 2021US$)",516414.1875
"Azerbaijan","AZE","Number of persons engaged (in millions)",4.741165638,"AZE","Population (in millions)",9.75285,"AZE","Real GDP at constant 2021 national prices (in mil. 2021US$)",195136.0469
"Burundi","BDI","Number of persons engaged (in millions)",4.66706562,"BDI","Population (in millions)",11.04758,"BDI","Real GDP at constant 2021 national prices (in mil. 2021US$)",10484.59863
"Belgium","BEL","Number of persons engaged (in millions)",4.607065201,"BEL","Population (in millions)",11.275335,"BEL","Real GDP at constant 2021 national prices (in mil. 2021US$)",593070.1875
"Benin","BEN","Number of persons engaged (in millions)",3.643776417,"BEN","Population (in millions)",11.360681,"BEN","Real GDP at constant 2021 national prices (in mil. 2021US$)",32044.91797
"Burkina Faso","BFA","Number of persons engaged (in millions)",6.118274689,"BFA","Population (in millions)",18.777487,"BFA","Real GDP at constant 2021 national prices (in mil. 2021US$)",36869.28125
"Bangladesh","BGD","Number of persons engaged (in millions)",59.69651031,"BGD","Population (in millions)",159.383179,"BGD","Real GDP at constant 2021 national prices (in mil. 2021US$)",824431.75
"Bulgaria","BGR","Number of persons engaged (in millions)",3.208118916,"BGR","Population (in millions)",7.177517,"BGR","Real GDP at constant 2021 national prices (in mil. 2021US$)",155443.3281
"Bahrain","BHR","Number of persons engaged (in millions)",0.731633842,"BHR","Population (in millions)",1.36965,"BHR","Real GDP at constant 2021 national prices (in mil. 2021US$)",75758.91406
"Bahamas","BHS","Number of persons engaged (in millions)",0.188289627,"BHS","Population (in millions)",0.385346,"BHS","Real GDP at constant 2021 national prices (in mil. 2021US$)",11496.54004
"Bosnia and Herzegovina","BIH","Number of persons engaged (in millions)",0.657287538,"BIH","Population (in millions)",3.518541,"BIH","Real GDP at constant 2021 national prices (in mil. 2021US$)",46440.70703
"Belarus","BLR","Number of persons engaged (in millions)",4.406383991,"BLR","Population (in millions)",9.487293,"BLR","Real GDP at constant 2021 national prices (in mil. 2021US$)",244186.7656
"Belize","BLZ","Number of persons engaged (in millions)",0.138686001,"BLZ","Population (in millions)",0.356333,"BLZ","Real GDP at constant 2021 national prices (in mil. 2021US$)",4143.162598
"Bermuda","BMU","Number of persons engaged (in millions)",0.035089858,"BMU","Population (in millions)",0.063464,"BMU","Real GDP at constant 2021 national prices (in mil. 2021US$)",3951.523926
"Bolivia (Plurinational State of)","BOL","Number of persons engaged (in millions)",5.02957201,"BOL","Population (in millions)",11.014705,"BOL","Real GDP at constant 2021 national prices (in mil. 2021US$)",98821.92969
"Brazil","BRA","Number of persons engaged (in millions)",92.44721222,"BRA","Population (in millions)",201.675532,"BRA","Real GDP at constant 2021 national prices (in mil. 2021US$)",3588124
"Barbados","BRB","Number of persons engaged (in millions)",0.128175005,"BRB","Population (in millions)",0.27899,"BRB","Real GDP at constant 2021 national prices (in mil. 2021US$)",3066.662598
"Brunei Darussalam","BRN","Number of persons engaged (in millions)",0.189473659,"BRN","Population (in millions)",0.422212,"BRN","Real GDP at constant 2021 national prices (in mil. 2021US$)",36752.64063
"Bhutan","BTN","Number of persons engaged (in millions)",0.276459873,"BTN","Population (in millions)",0.740618,"BTN","Real GDP at constant 2021 national prices (in mil. 2021US$)",9499.762695
"Botswana","BWA","Number of persons engaged (in millions)",0.891786873,"BWA","Population (in millions)",2.203273,"BWA","Real GDP at constant 2021 national prices (in mil. 2021US$)",33578.31641
"Central African Republic","CAF","Number of persons engaged (in millions)",1.580413103,"CAF","Population (in millions)",4.62932,"CAF","Real GDP at constant 2021 national prices (in mil. 2021US$)",4985.868652
"Canada","CAN","Number of persons engaged (in millions)",18.01225662,"CAN","Population (in millions)",35.962234,"CAN","Real GDP at constant 2021 national prices (in mil. 2021US$)",1894039.125
"Switzerland","CHE","Number of persons engaged (in millions)",4.847047806,"CHE","Population (in millions)",8.283934,"CHE","Real GDP at constant 2021 national prices (in mil. 2021US$)",693415.5625
"Chile","CHL","Number of persons engaged (in millions)",7.760435104,"CHL","Population (in millions)",18.047625,"CHL","Real GDP at constant 2021 national prices (in mil. 2021US$)",447298.2188
