Country,Variable,1960
Argentina,emp,7.577642918
Argentina,pop,20.54375155
Argentina,rgdpna,327019.3438
Australia,emp,4.152270317
Australia,pop,10.31155483
Australia,rgdpna,216140.9531
Austria,emp,3.417887449
Austria,pop,7.046713449
Austria,rgdpna,115675.2188
Burundi,pop,2.822214909
Burundi,rgdpna,2446.836182
Belgium,emp,3.494452715
Belgium,pop,9.111796791
Belgium,rgdpna,137849.2656
Benin,pop,2.404353469
Benin,rgdpna,2629.703857
Burkina Faso,emp,2.711498737
Burkina Faso,pop,5.147010167
Burkina Faso,rgdpna,4326.493652
Bangladesh,emp,19.605196
Bangladesh,pop,55.99335226
Bangladesh,rgdpna,97154.53125
Bolivia (Plurinational State of),emp,1.800558805
Bolivia (Plurinational State of),pop,3.626700014
Bolivia (Plurinational State of),rgdpna,18697.4707
Brazil,emp,21.02273941
Brazil,pop,71.46354615
Brazil,rgdpna,339493.7813
Barbados,emp,0.079324685
Barbados,pop,0.242684266
Barbados,rgdpna,806.4240112
Botswana,emp,0.170688406
Botswana,pop,0.50208299
Botswana,rgdpna,535.4763794
Central African Republic,pop,1.673502754
Central African Republic,rgdpna,3494.159424
Canada,emp,6.578632832
Canada,pop,18.00644122
Canada,rgdpna,339713.2188
Switzerland,emp,2.679780245
Switzerland,pop,5.288352105
Switzerland,rgdpna,210187.7344
Chile,emp,2.260996819
Chile,pop,7.971383818
Chile,rgdpna,48892.72656
China,emp,294.1258545
China,pop,652.9650346
China,rgdpna,302222.4375
Côte d'Ivoire,emp,1.230368376
Côte d'Ivoire,pop,3.468745697
Côte d'Ivoire,rgdpna,10235.27637
Cameroon,emp,2.117217779
Cameroon,pop,5.377846734
Cameroon,rgdpna,15541.7168
D.R. of the Congo,emp,6.343348026
D.R. of the Congo,pop,15.3571096
D.R. of the Congo,rgdpna,44388.39844
Congo,emp,0.385360092
Congo,pop,1.100851534
Congo,rgdpna,4047.625488
Colombia,emp,4.183583736
Colombia,pop,15.49276565
Colombia,rgdpna,77214.63281
Comoros,pop,0.189040486
Comoros,rgdpna,333.093689
Cabo Verde,pop,0.210686171
Cabo Verde,rgdpna,336.5558777
Costa Rica,emp,0.362097085
Costa Rica,pop,1.322396047
Costa Rica,rgdpna,8574.880859
Cyprus,emp,0.143394649
Cyprus,pop,0.603622788
Cyprus,rgdpna,2239.267334
Germany,emp,37.27041245
Germany,pop,72.84862928
Germany,rgdpna,1265407
Denmark,emp,2.110551834
Denmark,pop,4.580916954
Denmark,rgdpna,87545.78125
Dominican Republic,emp,0.728314877
Dominican Republic,pop,3.214343447
Dominican Republic,rgdpna,11537.58398
Algeria,emp,1.865888834
Algeria,pop,10.79330394
Algeria,rgdpna,84643.39844
Ecuador,emp,1.298287868
Ecuador,pop,4.576661325
Ecuador,rgdpna,21071.67383
Egypt,emp,6.712581635
Egypt,pop,27.68618739
Egypt,rgdpna,82594.95313
Spain,emp,12.32791424
Spain,pop,30.58351954
Spain,rgdpna,293869.1875
Ethiopia,emp,9.190732956
Ethiopia,pop,22.86760442
Ethiopia,rgdpna,19500.96289
Finland,emp,2.202198744
Finland,pop,4.42959781
Finland,rgdpna,56768.33594
Fiji,pop,0.40103979
Fiji,rgdpna,1940.903809
France,emp,20.18745995
France,pop,46.66365462
France,rgdpna,672229.1875
Gabon,emp,0.177140981
Gabon,pop,0.516439844
Gabon,rgdpna,4238.554688
United Kingdom,emp,24.18621826
United Kingdom,pop,52.40193916
United Kingdom,rgdpna,881476.125
Ghana,emp,2.519751549
Ghana,pop,7.066642355
Ghana,rgdpna,22197.94922
Guinea,pop,3.552821217
Guinea,rgdpna,6826.451172
Gambia,pop,0.380660207
Gambia,rgdpna,1064.373779
Guinea-Bissau,pop,0.581256771
Guinea-Bissau,rgdpna,1580.802246
Equatorial Guinea,pop,0.289286749
Equatorial Guinea,rgdpna,838.8504639
Greece,emp,3.640169859
Greece,pop,8.284758712
Greece,rgdpna,65197.89063
Guatemala,emp,1.361623645
Guatemala,pop,4.203111681
Guatemala,rgdpna,20853.43555
"China, Hong Kong SAR",emp,1.05875802
"China, Hong Kong SAR",pop,2.90511828
"China, Hong Kong SAR",rgdpna,15847.97656
Honduras,pop,1.944605272
Honduras,rgdpna,6894.806641
Haiti,pop,3.773619939
Haiti,rgdpna,9080.959961
Indonesia,emp,29.50617599
Indonesia,pop,95.16568877
Indonesia,rgdpna,160433.3906
India,emp,177.0396423
India,pop,438.9406133
India,rgdpna,550308.5
Ireland,emp,1.23835659
Ireland,pop,2.842850582
Ireland,rgdpna,34378.49219
Iran (Islamic Republic of),emp,6.331004143
Iran (Islamic Republic of),pop,21.76483973
Iran (Islamic Republic of),rgdpna,260659.1719
Iceland,emp,0.070408784
Iceland,pop,0.176182243
Iceland,rgdpna,2453.446777
Israel,emp,0.650237143
Israel,pop,2.112983334
Israel,rgdpna,18962.40039
Italy,emp,20.65657425
Italy,pop,49.94422136
Italy,rgdpna,682835.9375
Jamaica,emp,0.554993451
Jamaica,pop,1.576721186
Jamaica,rgdpna,11487.8125
Jordan,emp,0.176326722
Jordan,pop,0.883633041
Jordan,rgdpna,7210.76123
Japan,emp,47.02001953
Japan,pop,96.22640448
Japan,rgdpna,666101.9375
Kenya,emp,3.57286191
Kenya,pop,8.245021906
Kenya,rgdpna,25433.26758
Republic of Korea,emp,7.027187347
Republic of Korea,pop,25.0156734
Republic of Korea,rgdpna,47547.40625
Sri Lanka,emp,3.064414501
Sri Lanka,pop,9.652970626
Sri Lanka,rgdpna,16959.9043
Lesotho,pop,0.820043405
Lesotho,rgdpna,453.5647278
Luxembourg,emp,0.133761838
Luxembourg,pop,0.314115243
Luxembourg,rgdpna,7778.104004
Morocco,emp,3.667301893
Morocco,pop,11.81447391
Morocco,rgdpna,19976.98828
Madagascar,emp,2.694927216
Madagascar,pop,5.405850213
Madagascar,rgdpna,14477.15234
Mexico,emp,8.856819153
Mexico,pop,37.14560164
Mexico,rgdpna,309941.2813
Mali,emp,1.616848111
Mali,pop,5.086687334
Mali,rgdpna,1561.241455
Malta,emp,0.087949663
Malta,pop,0.335694495
Malta,rgdpna,977.8103027
Mozambique,emp,2.109526157
Mozambique,pop,6.625880849
Mozambique,rgdpna,3369.312012
Mauritania,pop,0.953061677
Mauritania,rgdpna,2565.884033
Mauritius,emp,0.140489444
Mauritius,pop,0.66177783
Mauritius,rgdpna,2625.452148
Malawi,emp,1.411238074
Malawi,pop,3.546793411
Malawi,rgdpna,1635.72522
Malaysia,emp,2.54203701
Malaysia,pop,7.863451482
Malaysia,rgdpna,24908.86133
Namibia,emp,0.175371364
Namibia,pop,0.585466311
Namibia,rgdpna,3152.401367
Niger,emp,1.778518796
Niger,pop,3.758900057
Niger,rgdpna,8082.978516
Nigeria,emp,15.81040859
Nigeria,pop,41.77784317
Nigeria,rgdpna,154294.375
Nicaragua,pop,1.762156603
Nicaragua,rgdpna,9442.890625
Netherlands,emp,4.61588192
Netherlands,pop,11.50340023
Netherlands,rgdpna,222335.5156
Norway,emp,1.514501929
Norway,pop,3.579353787
Norway,rgdpna,86314.16406
Nepal,pop,10.47043324
Nepal,rgdpna,12939.97852
New Zealand,emp,1.009627223
New Zealand,pop,2.366820753
New Zealand,rgdpna,45901.04688
Pakistan,emp,13.32600594
Pakistan,pop,46.13910505
Pakistan,rgdpna,52626.50391
Panama,pop,1.134141761
Panama,rgdpna,5210.369141
Peru,emp,3.102873564
Peru,pop,10.16317884
Peru,rgdpna,60503.79688
Philippines,emp,8.305474281
Philippines,pop,27.80359597
Philippines,rgdpna,84461.47656
Portugal,emp,3.293310642
Portugal,pop,8.662333997
Portugal,rgdpna,58026.83203
Paraguay,emp,0.647397161
Paraguay,pop,1.84110869
Paraguay,rgdpna,7767.447266
Romania,emp,9.872930527
Romania,pop,18.18449461
Romania,rgdpna,52897.51953
Rwanda,emp,1.626171112
Rwanda,pop,3.201926507
Rwanda,rgdpna,2855.975098
Senegal,emp,0.775189638
Senegal,pop,3.382214803
Senegal,rgdpna,11583.33887
Singapore,emp,0.474049896
Singapore,pop,1.659932235
Singapore,rgdpna,9563.205078
El Salvador,pop,2.628064815
El Salvador,rgdpna,13760.41602
Sweden,emp,3.698214769
Sweden,pop,7.480373625
Sweden,rgdpna,139294.1406
Seychelles,pop,0.041774421
Seychelles,rgdpna,139.2164307
Syrian Arab Republic,emp,1.367189527
Syrian Arab Republic,pop,4.621321497
Syrian Arab Republic,rgdpna,27536.69922
Chad,emp,1.250659227
Chad,pop,3.042784713
Chad,rgdpna,4161.283203
Togo,pop,1.663926627
Togo,rgdpna,2142.607422
Thailand,emp,11.22634411
Thailand,pop,26.66976169
Thailand,rgdpna,41091.31641
Trinidad and Tobago,emp,0.259091645
Trinidad and Tobago,pop,0.873273123
Trinidad and Tobago,rgdpna,8484.708008
Tunisia,emp,1.196278334
Tunisia,pop,4.168080363
Tunisia,rgdpna,9301.03418
Türkiye,emp,9.531710625
Türkiye,pop,28.91159999
Türkiye,rgdpna,154930.7344
Taiwan,emp,3.39550209
Taiwan,pop,10.667705
Taiwan,rgdpna,21393.84961
U.R. of Tanzania: Mainland,emp,4.251663685
U.R. of Tanzania: Mainland,pop,10.0261826
U.R. of Tanzania: Mainland,rgdpna,11485.42969
Uganda,emp,3.170984268
