"Country","emp_1960","pop_1960","rgdpna_1960"
"Argentina",7.577642918,20.54375155,327019.3438
"Australia",4.152270317,10.31155483,216140.9531
"Austria",3.417887449,7.046713449,115675.2188
"Burundi",NA,2.822214909,2446.836182
"Belgium",3.494452715,9.111796791,137849.2656
"Benin",NA,2.404353469,2629.703857
"Burkina Faso",2.711498737,5.147010167,4326.493652
"Bangladesh",19.605196,55.99335226,97154.53125
"Bolivia (Plurinational State of)",1.800558805,3.626700014,18697.4707
"Brazil",21.02273941,71.46354615,339493.7813
"Barbados",0.079324685,0.242684266,806.4240112
"Botswana",0.170688406,0.50208299,535.4763794
"Central African Republic",NA,1.673502754,3494.159424
"Canada",6.578632832,18.00644122,339713.2188
"Switzerland",2.679780245,5.288352105,210187.7344
"Chile",2.260996819,7.971383818,48892.72656
"China",294.1258545,652.9650346,302222.4375
"Côte d'Ivoire",1.230368376,3.468745697,10235.27637
"Cameroon",2.117217779,5.377846734,15541.7168
"D.R. of the Congo",6.343348026,15.3571096,44388.39844
"Congo",0.385360092,1.100851534,4047.625488
"Colombia",4.183583736,15.49276565,77214.63281
"Comoros",NA,0.189040486,333.093689
"Cabo Verde",NA,0.210686171,336.5558777
"Costa Rica",0.362097085,1.322396047,8574.880859
"Cyprus",0.143394649,0.603622788,2239.267334
"Germany",37.27041245,72.84862928,1265407
"Denmark",2.110551834,4.580916954,87545.78125
"Dominican Republic",0.728314877,3.214343447,11537.58398
"Algeria",1.865888834,10.79330394,84643.39844
"Ecuador",1.298287868,4.576661325,21071.67383
"Egypt",6.712581635,27.68618739,82594.95313
"Spain",12.32791424,30.58351954,293869.1875
"Ethiopia",9.190732956,22.86760442,19500.96289
"Finland",2.202198744,4.42959781,56768.33594
"Fiji",NA,0.40103979,1940.903809
"France",20.18745995,46.66365462,672229.1875
"Gabon",0.177140981,0.516439844,4238.554688
"United Kingdom",24.18621826,52.40193916,881476.125
"Ghana",2.519751549,7.066642355,22197.94922
"Guinea",NA,3.552821217,6826.451172
"Gambia",NA,0.380660207,1064.373779
"Guinea-Bissau",NA,0.581256771,1580.802246
"Equatorial Guinea",NA,0.289286749,838.8504639
"Greece",3.640169859,8.284758712,65197.89063
"Guatemala",1.361623645,4.203111681,20853.43555
"China, Hong Kong SAR",1.05875802,2.90511828,15847.97656
"Honduras",NA,1.944605272,6894.806641
"Haiti",NA,3.773619939,9080.959961
"Indonesia",29.50617599,95.16568877,160433.3906
"India",177.0396423,438.9406133,550308.5
"Ireland",1.23835659,2.842850582,34378.49219
"Iran (Islamic Republic of)",6.331004143,21.76483973,260659.1719
"Iceland",0.070408784,0.176182243,2453.446777
"Israel",0.650237143,2.112983334,18962.40039
"Italy",20.65657425,49.94422136,682835.9375
"Jamaica",0.554993451,1.576721186,11487.8125
"Jordan",0.176326722,0.883633041,7210.76123
"Japan",47.02001953,96.22640448,666101.9375
"Kenya",3.57286191,8.245021906,25433.26758
"Republic of Korea",7.027187347,25.0156734,47547.40625
"Sri Lanka",3.064414501,9.652970626,16959.9043
"Lesotho",NA,0.820043405,453.5647278
"Luxembourg",0.133761838,0.314115243,7778.104004
"Morocco",3.667301893,11.81447391,19976.98828
"Madagascar",2.694927216,5.405850213,14477.15234
"Mexico",8.856819153,37.14560164,309941.2813
"Mali",1.616848111,5.086687334,1561.241455
"Malta",0.087949663,0.335694495,977.8103027
"Mozambique",2.109526157,6.625880849,3369.312012
"Mauritania",NA,0.953061677,2565.884033
"Mauritius",0.140489444,0.66177783,2625.452148
"Malawi",1.411238074,3.546793411,1635.72522
"Malaysia",2.54203701,7.863451482,24908.86133
"Namibia",0.175371364,0.585466311,3152.401367
"Niger",1.778518796,3.758900057,8082.978516
"Nigeria",15.81040859,41.77784317,154294.375
"Nicaragua",NA,1.762156603,9442.890625
"Netherlands",4.61588192,11.50340023,222335.5156
"Norway",1.514501929,3.579353787,86314.16406
"Nepal",NA,10.47043324,12939.97852
"New Zealand",1.009627223,2.366820753,45901.04688
"Pakistan",13.32600594,46.13910505,52626.50391
"Panama",NA,1.134141761,5210.369141
"Peru",3.102873564,10.16317884,60503.79688
"Philippines",8.305474281,27.80359597,84461.47656
"Portugal",3.293310642,8.662333997,58026.83203
"Paraguay",0.647397161,1.84110869,7767.447266
"Romania",9.872930527,18.18449461,52897.51953
"Rwanda",1.626171112,3.201926507,2855.975098
"Senegal",0.775189638,3.382214803,11583.33887
"Singapore",0.474049896,1.659932235,9563.205078
"El Salvador",NA,2.628064815,13760.41602
"Sweden",3.698214769,7.480373625,139294.1406
"Seychelles",NA,0.041774421,139.2164307
"Syrian Arab Republic",1.367189527,4.621321497,27536.69922
"Chad",1.250659227,3.042784713,4161.283203
"Togo",NA,1.663926627,2142.607422
"Thailand",11.22634411,26.66976169,41091.31641
"Trinidad and Tobago",0.259091645,0.873273123,8484.708008
"Tunisia",1.196278334,4.168080363,9301.03418
"Türkiye",9.531710625,28.91159999,154930.7344
"Taiwan",3.39550209,10.667705,21393.84961
"U.R. of Tanzania: Mainland",4.251663685,10.0261826,11485.42969
"Uganda",3.170984268,7.693171291,8153.619141
"Uruguay",0.899570286,2.501522272,22656.42773
"United States",70.64601898,183.0890364,3856027.5
"Venezuela (Bolivarian Republic of)",2.339647293,7.998838678,3167.764893
"South Africa",8.095932961,17.06438353,133547.7344
"Zambia",1.024943113,3.307655904,8121.671387
"Zimbabwe",1.328616142,3.793736697,5947.669434
